,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.8423, 17.482130446283215)","(0.7689999999999998, 50.0)","(0.5943999999999999, 1.0053278192978918)","(0.5274, 1.6844912775370917)","(0.2451, 1.9629832567035916)","(0.3917, 2.7304953240277334)"
1,"(0.8652999999999998, 17.86376960275244)","(0.8332999999999998, 50.0)","(0.5123, 0.5895664114523377)","(0.5274000000000001, 0.7312799105822125)","(0.6846, 4.4272954426938655)","(0.7948, 8.38026882635301)"
2,"(0.8869999999999999, 13.436663667038308)","(0.8435, 24.904492906441448)","(0.6096, 0.5613184738232943)","(0.5609999999999999, 0.9382137075886792)","(0.8540999999999999, 4.823687789995786)","(0.8718999999999999, 8.952926090436977)"
3,"(0.8859, 12.408782862397912)","(0.8460999999999999, 16.059419432998453)","(0.7487000000000001, 0.4925734911347273)","(0.6691, 0.7425805774306854)","(0.8666, 5.268688245836198)","(0.867, 2.748308502227091)"
4,"(0.8951999999999998, 11.663515046059695)","(0.8887, 25.98161966585324)","(0.6822999999999999, 0.29012130677906794)","(0.6774, 1.290967679332421)","(0.8701000000000001, 4.649404894782375)","(0.8848, 8.659220914648841)"
5,"(0.8991, 11.083313224736129)","(0.8992999999999999, 25.29087392433851)","(0.6305, 0.6354357062195545)","(0.6941999999999998, 1.0196848705371513)","(0.8897999999999999, 7.353452910057689)","(0.8880000000000001, 7.174724865241382)"
6,"(0.9001000000000001, 10.849312081438867)","(0.9003, 13.792457461431246)","(0.8051, 1.5226139709156388)","(0.7263, 1.1702903017913375)","(0.9003, 7.448162031277276)","(0.8925000000000001, 7.971573542775624)"
7,"(0.9013000000000002, 11.032980097320783)","(0.9091999999999999, 14.348565686247541)","(0.8112999999999999, 0.947854914674261)","(0.6671000000000001, 1.1445592672592546)","(0.8983000000000001, 3.6771924167339587)","(0.9048, 8.782958109055379)"
8,"(0.9030000000000001, 11.101992135781801)","(0.9141000000000001, 16.405052624461334)","(0.6749, 0.6761012786601369)","(0.773, 0.8229524660645517)","(0.892, 5.94914530054755)","(0.9019, 6.293870889966072)"
9,"(0.9013, 11.565045970008557)","(0.9187, 18.69285140139968)","(0.6967, 0.19007685703719251)","(0.8150999999999999, 0.9899907541304375)","(0.8134, 5.257173146095867)","(0.8995000000000001, 2.797209230784433)"
