,BMW_FL_g,BMW_FL_s,Ran_Pri_seperate,Ran_Pri_overall,RRAFL_seperate,RRAFL_overall
0,"(0.8365, 15.823650087940308)","(0.7957500000000001, 60.0)","(0.539, 1.6954536540158882)","(0.5283333333333333, 1.4016516933410634)","(0.331, 2.5110076534153842)","(0.8446666666666668, 7.297991123103598)"
1,"(0.8701666666666665, 15.259504650118851)","(0.8444166666666667, 60.0)","(0.6193333333333333, 0.46821487027699965)","(0.7050833333333334, 0.7689483528039573)","(0.33391666666666664, 1.0)","(0.8734999999999999, 6.7518794384644725)"
2,"(0.8845833333333334, 15.17325432109434)","(0.85875, 34.03865543230304)","(0.6740833333333333, 0.9136310760927735)","(0.7110833333333333, 1.9266980337671027)","(0.5845833333333333, 2.655393275959325)","(0.8778333333333332, 9.048113574199798)"
3,"(0.8350000000000001, 15.631611570532582)","(0.8740833333333334, 19.207802295589104)","(0.6529166666666667, 1.5062511284475968)","(0.7944999999999999, 2.7317792154385163)","(0.5843333333333334, 0.8702564497325408)","(0.8911666666666668, 11.001461169234233)"
4,"(0.896, 13.310070924860765)","(0.8977500000000002, 30.37413130437584)","(0.6669166666666667, 1.105989655499493)","(0.7935, 1.5269856868562188)","(0.839, 5.013019996946815)","(0.89725, 10.264543538227779)"
5,"(0.9020833333333332, 12.739286652946745)","(0.9024166666666668, 27.92570304897113)","(0.7504166666666667, 0.32198860910400595)","(0.7440000000000001, 1.2068417020823332)","(0.8404999999999999, 1.8557742707852274)","(0.9025833333333333, 11.18200302773805)"
6,"(0.895, 12.092297567878328)","(0.9119999999999999, 21.828239615814592)","(0.6726666666666667, 0.8514152919398381)","(0.657, 0.9323017230771196)","(0.86675, 1.8331155370816097)","(0.9062500000000001, 9.511388105330738)"
7,"(0.9079166666666665, 12.95661792596912)","(0.9176666666666667, 21.3571960678977)","(0.6150000000000001, 0.9720037285765375)","(0.75875, 1.4730216604796615)","(0.8641666666666667, 3.0473189612009577)","(0.8179166666666667, 9.985517200766793)"
8,"(0.9055833333333334, 12.191508962606195)","(0.9222500000000001, 19.19522855899829)","(0.6806666666666668, 0.7015246939773132)","(0.7204166666666668, 0.691179044786683)","(0.8679166666666668, 3.8654767492848348)","(0.9186666666666667, 9.451147628726595)"
9,"(0.9114166666666668, 10.987683798426842)","(0.9225, 18.00760103281936)","(0.8274166666666666, 1.469576758790614)","(0.7353333333333333, 0.8931812672128245)","(0.8755833333333335, 2.8655055057657957)","(0.9185833333333333, 10.085875146122223)"
